name,classifier_name,f1_score,acc_test,recall_test,best_params
"['edas-iasted' 'conference-ekaw' 'cmt-ekaw' 'confof-edas'
 'conference-sigkdd' 'edas-ekaw' 'cmt-confof' 'ekaw-iasted' 'cmt-sigkdd'
 'ekaw-sigkdd' 'cmt-edas' 'cmt-conference' 'confof-ekaw' 'cmt-iasted'
 'conference-iasted' 'confof-sigkdd' 'conference-edas' 'confof-iasted']",AdaBoostClassifier,0.68852459,0.765432099,0.807692308,"{'base_estimator': LogisticRegression(), 'n_estimators': 150}"
"['edas-iasted' 'conference-ekaw' 'cmt-ekaw' 'confof-edas'
 'conference-sigkdd' 'edas-ekaw' 'cmt-confof' 'ekaw-iasted' 'cmt-sigkdd'
 'ekaw-sigkdd' 'cmt-edas' 'cmt-conference' 'confof-ekaw' 'cmt-iasted'
 'conference-iasted' 'confof-sigkdd' 'conference-edas' 'confof-iasted']",GradientBoostingClassifier,0.677419355,0.75308642,0.807692308,"{'learning_rate': 0.1, 'n_estimators': 50}"
"['edas-iasted' 'conference-ekaw' 'cmt-ekaw' 'confof-edas'
 'conference-sigkdd' 'edas-ekaw' 'cmt-confof' 'ekaw-iasted' 'cmt-sigkdd'
 'ekaw-sigkdd' 'cmt-edas' 'cmt-conference' 'confof-ekaw' 'cmt-iasted'
 'conference-iasted' 'confof-sigkdd' 'conference-edas' 'confof-iasted']",DecisionTreeClassifier,0.633333333,0.728395062,0.730769231,{'criterion': 'gini'}
"['cmt-edas' 'conference-iasted' 'conference-edas' 'ekaw-iasted'
 'confof-ekaw' 'cmt-conference' 'conference-sigkdd' 'iasted-sigkdd'
 'cmt-sigkdd' 'cmt-iasted' 'edas-ekaw' 'confof-iasted' 'conference-confof'
 'edas-iasted' 'edas-sigkdd' 'confof-sigkdd' 'cmt-confof'
 'conference-ekaw']",LogisticRegression,0.634146341,0.769230769,0.764705882,"{'C': 10, 'tol': 0.01}"
"['cmt-edas' 'conference-iasted' 'conference-edas' 'ekaw-iasted'
 'confof-ekaw' 'cmt-conference' 'conference-sigkdd' 'iasted-sigkdd'
 'cmt-sigkdd' 'cmt-iasted' 'edas-ekaw' 'confof-iasted' 'conference-confof'
 'edas-iasted' 'edas-sigkdd' 'confof-sigkdd' 'cmt-confof'
 'conference-ekaw']",AdaBoostClassifier,0.634146341,0.769230769,0.764705882,"{'base_estimator': LogisticRegression(), 'n_estimators': 150}"
"['cmt-edas' 'conference-iasted' 'conference-edas' 'ekaw-iasted'
 'confof-ekaw' 'cmt-conference' 'conference-sigkdd' 'iasted-sigkdd'
 'cmt-sigkdd' 'cmt-iasted' 'edas-ekaw' 'confof-iasted' 'conference-confof'
 'edas-iasted' 'edas-sigkdd' 'confof-sigkdd' 'cmt-confof'
 'conference-ekaw']",GradientBoostingClassifier,0.577777778,0.707692308,0.764705882,"{'learning_rate': 0.1, 'n_estimators': 50}"
"['cmt-edas' 'conference-iasted' 'conference-edas' 'ekaw-iasted'
 'confof-ekaw' 'cmt-conference' 'conference-sigkdd' 'iasted-sigkdd'
 'cmt-sigkdd' 'cmt-iasted' 'edas-ekaw' 'confof-iasted' 'conference-confof'
 'edas-iasted' 'edas-sigkdd' 'confof-sigkdd' 'cmt-confof'
 'conference-ekaw']",DecisionTreeClassifier,0.577777778,0.707692308,0.764705882,{'criterion': 'entropy'}
cf-lb,LogisticRegression,0.727156037,0.880215549,0.644726859,"{'C': 10, 'tol': 0.01}"
cf-lb,DecisionTreeClassifier,0.728152485,0.880614713,0.645817527,{'criterion': 'gini'}
cf-lb,AdaBoostClassifier,0.761806558,0.891521285,0.700682853,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
